Date,Value
2014-03-31,966.85
2014-02-28,946.13
2014-01-31,928.42
2013-12-31,925.41
2013-11-30,922.13
2013-10-31,936.82
2013-09-30,939.23
2013-08-31,937.6
2013-07-31,925.41
2013-06-30,911.6
2013-05-31,908.0
2013-04-30,912.23
2013-03-31,938.57
2013-02-28,925.41
2013-01-31,933.82
2012-12-31,945.8
2012-11-30,937.34
2012-10-31,959.04
2012-09-30,966.85
2012-08-31,954.84
2012-07-31,966.85
2012-06-30,956.33
2012-05-31,955.44
2012-04-30,1029.33
2012-03-31,1151.43
2012-02-29,1045.12
2012-01-31,942.99
2011-12-31,946.76
2011-11-30,959.32
2011-10-31,956.33
2011-09-30,945.5
2011-08-31,960.25
2011-07-31,964.22
2011-06-30,986.31
2011-05-31,1022.1
2011-04-30,1013.47
2011-03-31,994.17
2011-02-28,1013.12
2011-01-31,949.42
2010-12-31,897.79
2010-11-30,908.15
2010-10-31,921.8
2010-09-30,883.98
2010-08-31,896.53
2010-07-31,987.07
2010-06-30,964.84
2010-05-31,872.47
2010-04-30,828.42
2010-03-31,842.54
2010-02-28,790.75
2010-01-31,782.69
2009-12-31,801.1
2009-11-30,835.64
2009-10-31,811.46
2009-09-30,818.37
2009-08-31,835.64
2009-07-31,828.73
2009-06-30,850.83
2009-05-31,852.9
2009-04-30,897.79
2009-03-31,906.08
2009-02-28,921.96
2009-01-31,814.92
2008-12-31,842.54
2008-11-30,904.7
2008-10-31,808.01
2008-09-30,806.63
2008-08-31,801.1
2008-07-31,725.14
2008-06-30,839.78
2008-05-31,927.93
2008-04-30,969.99
2008-03-31,1027.36
2008-02-29,790.58
2008-01-31,679.8
2007-12-31,648.51
2007-11-30,653.57
2007-10-31,659.98
2007-09-30,666.44
2007-08-31,696.01
2007-07-31,735.18
2007-06-30,778.74
2007-05-31,691.81
2007-04-30,647.2
2007-03-31,646.66
2007-02-28,658.84
2007-01-31,640.16
2006-12-31,656.41
2006-11-30,602.71
2006-10-31,552.17
2006-09-30,544.92
2006-08-31,546.18
2006-07-31,585.04
2006-06-30,713.84
2006-05-31,946.13
2006-04-30,669.89
2006-03-31,880.67
2006-02-28,871.55
2006-01-31,624.69
2005-12-31,568.18
2005-11-30,471.5
2005-10-31,489.34
2005-09-30,585.32
2005-08-31,399.17
2005-07-31,403.84
2005-06-30,500.06
2005-05-31,613.39
2005-04-30,594.25
2005-03-31,817.02
2005-02-28,890.19
2005-01-31,588.99
2004-12-31,497.24
2004-11-30,497.24
2004-10-31,492.63
2004-09-30,520.47
2004-08-31,557.51
2004-07-31,602.71
2004-06-30,596.43
2004-05-31,558.41
2004-04-30,530.2
2004-03-31,512.25
2004-02-29,497.24
2004-01-31,435.71
2003-12-31,371.43
2003-11-30,428.18
2003-10-31,326.99
2003-09-30,312.97
2003-08-31,277.56
2003-07-31,296.36
2003-06-30,310.44
2003-05-31,290.37
2003-04-30,384.23
2003-03-31,480.47
2003-02-28,462.71
2003-01-31,560.59
2002-12-31,565.98
2002-11-30,399.57
2002-10-31,550.08
2002-09-30,492.63
2002-08-31,420.02
2002-07-31,545.58
2002-06-30,643.99
2002-05-31,631.46
2002-04-30,570.38
2002-03-31,571.23
2002-02-28,511.05
2002-01-31,429.38
2001-12-31,518.94
2001-11-30,494.1
2001-10-31,486.79
2001-09-30,583.56
2001-08-31,682.2
2001-07-31,700.97
2001-06-30,610.37
2001-05-31,638.36
2001-04-30,532.1
2001-03-31,555.0
2001-02-28,681.28
2001-01-31,532.67
2000-12-31,443.3
2000-11-30,370.73
2000-10-31,378.58
2000-09-30,426.86
2000-08-31,347.11
2000-07-31,307.81
2000-06-30,412.98
2000-05-31,414.79
2000-04-30,481.7
2000-03-31,419.89
2000-02-29,580.11
2000-01-31,483.43
1999-12-31,354.97
1999-11-30,333.22
1999-10-31,328.73
1999-09-30,353.94
1999-08-31,352.21
1999-07-31,343.92
1999-06-30,284.88
1999-05-31,331.49
1999-04-30,417.13
1999-03-31,448.9
1999-02-28,447.86
1999-01-31,489.78
1998-12-31,377.76
1998-11-30,561.46
1998-10-31,333.7
1998-09-30,355.32
1998-08-31,353.94
1998-07-31,457.18
1998-06-30,659.53
1998-05-31,679.56
1998-04-30,780.39
1998-03-31,455.8
1998-02-28,438.54
1998-01-31,453.04
1997-12-31,424.72
1997-11-30,435.08
1997-10-31,381.22
1997-09-30,449.59
1997-08-31,408.84
1997-07-31,457.87
1997-06-30,468.92
1997-05-31,414.36
1997-04-30,607.73
1997-03-31,766.57
1997-02-28,787.29
1997-01-31,668.51
1996-12-31,476.2
1996-11-30,426.59
1996-10-31,375.45
1996-09-30,396.39
1996-08-31,405.65
1996-07-31,425.05
1996-06-30,484.58
1996-05-31,535.72
1996-04-30,605.17
1996-03-31,500.0
1996-02-29,590.84
1996-01-31,413.37
1995-12-31,407.85
1995-11-30,440.92
1995-10-31,433.21
1995-09-30,520.0
1995-08-31,520.0
1995-07-31,535.41
1995-06-30,368.9
1995-05-31,393.0
1995-04-30,385.81
1995-03-31,397.79
1995-02-28,580.09
1995-01-31,358.25
1994-12-31,537.38
1994-11-30,296.87
1994-10-31,323.8
1994-09-30,438.41
1994-08-31,407.38
1994-07-31,446.17
1994-06-30,250.51
1994-05-31,375.77
1994-04-30,496.04
1994-03-31,505.62
1994-02-28,666.9
1994-01-31,532.64
1993-12-31,414.56
1993-11-30,368.27
1993-10-31,330.69
1993-09-30,350.76
1993-08-31,316.91
1993-07-31,350.73
1993-06-30,389.56
1993-05-31,461.6
1993-04-30,563.7
1993-03-31,659.0
1993-02-28,585.61
1993-01-31,524.92
1992-12-31,310.85
1992-11-30,380.03
1992-10-31,389.6
1992-09-30,511.7
1992-08-31,620.71
1992-07-31,432.54
1992-06-30,404.45
1992-05-31,425.83
1992-04-30,418.99
1992-03-31,606.3
1992-02-29,606.27
1992-01-31,569.73
1991-12-31,403.97
1991-11-30,440.92
1991-10-31,448.11
1991-09-30,366.86
1991-08-31,478.5
1991-07-31,401.9
1991-06-30,633.83
1991-05-31,632.63
