Date,Value
2014-03-01,21841.0
2014-02-01,21841.0
2014-01-01,21832.0
2013-12-01,21854.0
2013-11-01,21856.0
2013-10-01,21854.0
2013-09-01,21864.0
2013-08-01,21853.0
2013-07-01,21831.0
2013-06-01,21852.0
2013-05-01,21852.0
2013-04-01,21875.0
2013-03-01,21860.0
2013-02-01,21883.0
2013-01-01,21866.0
2012-12-01,21888.0
2012-11-01,21889.0
2012-10-01,21897.0
2012-09-01,21927.0
2012-08-01,21925.0
2012-07-01,21911.0
2012-06-01,21923.0
2012-05-01,21910.0
2012-04-01,21931.0
2012-03-01,21937.0
2012-02-01,21940.0
2012-01-01,21942.0
2011-12-01,21946.0
2011-11-01,21972.0
2011-10-01,21999.0
2011-09-01,21993.0
2011-08-01,22040.0
2011-07-01,22043.0
2011-06-01,22156.0
2011-05-01,22125.0
2011-04-01,22189.0
2011-03-01,22187.0
2011-02-01,22206.0
2011-01-01,22261.0
2010-12-01,22263.0
2010-11-01,22286.0
2010-10-01,22298.0
2010-09-01,22256.0
2010-08-01,22420.0
2010-07-01,22579.0
2010-06-01,22760.0
2010-05-01,22992.0
2010-04-01,22570.0
2010-03-01,22511.0
2010-02-01,22468.0
2010-01-01,22480.0
2009-12-01,22482.0
2009-11-01,22533.0
2009-10-01,22524.0
2009-09-01,22451.0
2009-08-01,22537.0
2009-07-01,22521.0
2009-06-01,22576.0
2009-05-01,22617.0
2009-04-01,22677.0
2009-03-01,22560.0
2009-02-01,22576.0
2009-01-01,22579.0
2008-12-01,22556.0
2008-11-01,22560.0
2008-10-01,22549.0
2008-09-01,22537.0
2008-08-01,22567.0
2008-07-01,22568.0
2008-06-01,22517.0
2008-05-01,22483.0
2008-04-01,22450.0
2008-03-01,22443.0
2008-02-01,22417.0
2008-01-01,22388.0
2007-12-01,22376.0
2007-11-01,22334.0
2007-10-01,22297.0
2007-09-01,22279.0
2007-08-01,22226.0
2007-07-01,22171.0
2007-06-01,22207.0
2007-05-01,22193.0
2007-04-01,22175.0
2007-03-01,22149.0
2007-02-01,22131.0
2007-01-01,22095.0
2006-12-01,22088.0
2006-11-01,22083.0
2006-10-01,22068.0
2006-09-01,22082.0
2006-08-01,22011.0
2006-07-01,21973.0
2006-06-01,21922.0
2006-05-01,21926.0
2006-04-01,21919.0
2006-03-01,21903.0
2006-02-01,21878.0
2006-01-01,21847.0
2005-12-01,21879.0
2005-11-01,21859.0
2005-10-01,21829.0
2005-09-01,21845.0
2005-08-01,21863.0
2005-07-01,21857.0
2005-06-01,21763.0
2005-05-01,21781.0
2005-04-01,21754.0
2005-03-01,21740.0
2005-02-01,21744.0
2005-01-01,21735.0
2004-12-01,21693.0
2004-11-01,21692.0
2004-10-01,21656.0
2004-09-01,21635.0
2004-08-01,21626.0
2004-07-01,21606.0
2004-06-01,21601.0
2004-05-01,21614.0
2004-04-01,21614.0
2004-03-01,21588.0
2004-02-01,21550.0
2004-01-01,21538.0
2003-12-01,21546.0
2003-11-01,21535.0
2003-10-01,21558.0
2003-09-01,21504.0
2003-08-01,21556.0
2003-07-01,21633.0
2003-06-01,21606.0
2003-05-01,21567.0
2003-04-01,21595.0
2003-03-01,21610.0
2003-02-01,21624.0
2003-01-01,21626.0
2002-12-01,21588.0
2002-11-01,21581.0
2002-10-01,21559.0
2002-09-01,21546.0
2002-08-01,21589.0
2002-07-01,21544.0
2002-06-01,21549.0
2002-05-01,21514.0
2002-04-01,21443.0
2002-03-01,21431.0
2002-02-01,21390.0
2002-01-01,21377.0
2001-12-01,21355.0
2001-11-01,21326.0
2001-10-01,21275.0
2001-09-01,21242.0
2001-08-01,21218.0
2001-07-01,21185.0
2001-06-01,21137.0
2001-05-01,21029.0
2001-04-01,20992.0
2001-03-01,20945.0
2001-02-01,20906.0
2001-01-01,20835.0
2000-12-01,20804.0
2000-11-01,20760.0
2000-10-01,20743.0
